Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,Percent change from Starting to Mid-Career Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Accounting,"$44,620.00 ","$77,100.00 ",72.8,"$42,200.00 ","$56,100.00 ","$108,000.00 ","$152,000.00 "
Aerospace Engineering,"$55,969.00 ","$101,000.00 ",80.5,"$64,300.00 ","$82,100.00 ","$127,000.00 ","$161,000.00 "
Agriculture,"$40,470.00 ","$71,900.00 ",77.7,"$36,300.00 ","$52,100.00 ","$96,300.00 ","$150,000.00 "
Anthropology,"$41,952.00 ","$61,500.00 ",46.6,"$33,800.00 ","$45,500.00 ","$89,300.00 ","$138,000.00 "
Architecture,"$45,344.00 ","$76,800.00 ",69.4,"$50,600.00 ","$62,200.00 ","$97,000.00 ","$136,000.00 "
Art History,"$32,578.00 ","$64,900.00 ",99.2,"$28,800.00 ","$42,200.00 ","$87,400.00 ","$125,000.00 "
Biology,"$41,128.00 ","$64,800.00 ",57.6,"$36,900.00 ","$47,400.00 ","$94,500.00 ","$135,000.00 "
Business Management,"$48,590.00 ","$72,100.00 ",48.4,"$38,800.00 ","$51,500.00 ","$102,000.00 ","$147,000.00 "
Chemical Engineering,"$63,200.00 ","$107,000.00 ",69.3,"$71,900.00 ","$87,300.00 ","$143,000.00 ","$194,000.00 "
Chemistry,"$38,340.00 ","$79,900.00 ",108.4,"$45,300.00 ","$60,700.00 ","$108,000.00 ","$148,000.00 "
Civil Engineering,"$53,900.00 ","$90,500.00 ",67.9,"$63,400.00 ","$75,100.00 ","$115,000.00 ","$148,000.00 "
Communications,"$43,815.00 ","$70,000.00 ",59.8,"$37,500.00 ","$49,700.00 ","$98,800.00 ","$143,000.00 "
Computer Engineering,"$65,084.00 ","$105,000.00 ",61.3,"$66,100.00 ","$84,100.00 ","$135,000.00 ","$162,000.00 "
Computer Science,"$51,987.00 ","$95,500.00 ",83.7,"$56,000.00 ","$74,900.00 ","$122,000.00 ","$154,000.00 "
Construction,"$48,867.00 ","$88,900.00 ",81.9,"$56,300.00 ","$68,100.00 ","$118,000.00 ","$171,000.00 "
Criminal Justice,"$30,450.00 ","$56,300.00 ",84.9,"$32,200.00 ","$41,600.00 ","$80,700.00 ","$107,000.00 "
Drama,"$36,618.00 ","$56,900.00 ",55.4,"$36,700.00 ","$41,300.00 ","$79,100.00 ","$153,000.00 "
Economics,"$41,583.00 ","$98,600.00 ",137.1,"$50,600.00 ","$70,600.00 ","$145,000.00 ","$210,000.00 "
Education,"$33,504.00 ","$52,000.00 ",55.2,"$29,300.00 ","$37,900.00 ","$73,400.00 ","$102,000.00 "
Electrical Engineering,"$68,208.00 ","$103,000.00 ",51,"$69,300.00 ","$83,800.00 ","$130,000.00 ","$168,000.00 "
English,"$37,620.00 ","$64,700.00 ",72,"$33,400.00 ","$44,800.00 ","$93,200.00 ","$133,000.00 "
Film,"$36,384.00 ","$68,500.00 ",88.3,"$33,900.00 ","$45,500.00 ","$100,000.00 ","$136,000.00 "
Finance,"$55,085.00 ","$88,300.00 ",60.3,"$47,200.00 ","$62,100.00 ","$128,000.00 ","$195,000.00 "
Forestry,"$33,235.00 ","$62,600.00 ",88.4,"$41,000.00 ","$49,300.00 ","$78,200.00 ","$111,000.00 "
Geography,"$32,960.00 ","$65,500.00 ",98.7,"$40,000.00 ","$50,000.00 ","$90,800.00 ","$132,000.00 "
Geology,"$38,280.00 ","$79,500.00 ",107.7,"$45,000.00 ","$59,600.00 ","$101,000.00 ","$156,000.00 "
Graphic Design,"$27,846.00 ","$59,800.00 ",114.8,"$36,000.00 ","$45,500.00 ","$80,800.00 ","$112,000.00 "
Health Care Administration,"$34,920.00 ","$60,600.00 ",73.5,"$34,600.00 ","$45,600.00 ","$78,800.00 ","$101,000.00 "
History,"$47,432.00 ","$71,000.00 ",49.7,"$37,000.00 ","$49,200.00 ","$103,000.00 ","$149,000.00 "
Hospitality & Tourism,"$34,776.00 ","$57,500.00 ",65.3,"$35,500.00 ","$43,600.00 ","$81,900.00 ","$124,000.00 "
Industrial Engineering,"$50,199.00 ","$94,700.00 ",88.6,"$57,100.00 ","$72,300.00 ","$132,000.00 ","$173,000.00 "
Information Technology (IT),"$53,519.00 ","$74,800.00 ",39.8,"$44,500.00 ","$56,700.00 ","$96,700.00 ","$129,000.00 "
Interior Design,"$29,602.00 ","$53,200.00 ",79.7,"$35,700.00 ","$42,600.00 ","$72,500.00 ","$107,000.00 "
International Relations,"$33,129.00 ","$80,900.00 ",144.2,"$38,200.00 ","$56,000.00 ","$111,000.00 ","$157,000.00 "
Journalism,"$40,584.00 ","$66,700.00 ",64.4,"$38,400.00 ","$48,300.00 ","$97,700.00 ","$145,000.00 "
Mgmt Info Systems (MIS),"$38,868.00 ","$82,300.00 ",111.7,"$45,300.00 ","$60,500.00 ","$108,000.00 ","$146,000.00 "
Marketing,"$31,008.00 ","$79,600.00 ",156.7,"$42,100.00 ","$55,600.00 ","$119,000.00 ","$175,000.00 "
Math,"$37,228.00 ","$92,400.00 ",148.2,"$45,200.00 ","$64,200.00 ","$128,000.00 ","$183,000.00 "
Mechanical Engineering,"$58,479.00 ","$93,600.00 ",60.1,"$63,700.00 ","$76,200.00 ","$120,000.00 ","$163,000.00 "
Music,"$30,156.00 ","$55,000.00 ",82.4,"$26,700.00 ","$40,200.00 ","$88,000.00 ","$134,000.00 "
Nursing,"$49,322.00 ","$67,000.00 ",35.8,"$47,600.00 ","$56,400.00 ","$80,900.00 ","$98,300.00 "
Nutrition,"$46,284.00 ","$55,300.00 ",19.5,"$33,900.00 ","$44,500.00 ","$70,500.00 ","$99,200.00 "
Philosophy,"$34,314.00 ","$81,200.00 ",136.6,"$35,500.00 ","$52,800.00 ","$127,000.00 ","$168,000.00 "
Physician Assistant,"$80,987.00 ","$91,700.00 ",13.2,"$66,400.00 ","$75,200.00 ","$108,000.00 ","$124,000.00 "
Physics,"$62,875.00 ","$97,300.00 ",54.8,"$56,000.00 ","$74,200.00 ","$132,000.00 ","$178,000.00 "
Political Science,"$50,592.00 ","$78,200.00 ",54.6,"$41,200.00 ","$55,300.00 ","$114,000.00 ","$168,000.00 "
Psychology,"$29,797.00 ","$60,400.00 ",102.7,"$31,600.00 ","$42,100.00 ","$87,500.00 ","$127,000.00 "
Religion,"$39,897.00 ","$52,000.00 ",30.3,"$29,700.00 ","$36,500.00 ","$70,900.00 ","$96,400.00 "
Sociology,"$45,260.00 ","$58,200.00 ",28.6,"$30,700.00 ","$40,400.00 ","$81,200.00 ","$118,000.00 "
Spanish,"$34,000.00 ","$53,100.00 ",56.2,"$31,000.00 ","$40,000.00 ","$76,800.00 ","$96,400.00 "
